topic,category,n_miscomm,n_no_miscomm,n_total
java,referential,19392.0,1866702.0,1886094
c#,referential,15906.0,1588187.0,1604093
php,referential,13020.0,1433441.0,1446461
android,referential,10414.0,1359348.0,1369762
html,referential,8682.0,1164712.0,1173394
jquery,referential,7973.0,1011896.0,1019869
c++,referential,11650.0,796535.0,808185
css,referential,5299.0,792517.0,797816
sql,referential,8093.0,663902.0,671995
ios,referential,5099.0,663516.0,668615
mysql,referential,7250.0,646496.0,653746
r,referential,2726.0,500304.0,503030
reactjs,referential,2440.0,455560.0,458000
node.js,referential,2741.0,452707.0,455448
arrays,referential,4154.0,412135.0,416289
c,referential,5832.0,400306.0,406138
asp.net,referential,2852.0,365089.0,367941
json,referential,2637.0,353745.0,356382
.net,referential,3359.0,332507.0,335866
sql-server,referential,3845.0,331053.0,334898
python-3.x,referential,2444.0,332156.0,334600
ruby-on-rails,referential,1824.0,330913.0,332737
swift,referential,2649.0,325575.0,328224
django,referential,1688.0,303475.0,305163
angular,referential,1741.0,296476.0,298217
objective-c,referential,2353.0,285114.0,287467
excel,referential,2295.0,284757.0,287052
pandas,referential,1501.0,285412.0,286913
regex,referential,2423.0,258291.0,260714
angularjs,referential,1491.0,254653.0,256144
typescript,referential,1465.0,225806.0,227271
ruby,referential,1592.0,225219.0,226811
linux,referential,2152.0,221630.0,223782
ajax,referential,1732.0,215922.0,217654
iphone,referential,1574.0,215274.0,216848
vba,referential,1921.0,213355.0,215276
xml,referential,1666.0,210068.0,211734
laravel,referential,1365.0,207912.0,209277
spring,referential,1706.0,204934.0,206640
asp.net-mvc,referential,1698.0,196422.0,198120
database,referential,2092.0,189563.0,191655
wordpress,referential,1207.0,183829.0,185036
string,referential,1941.0,182613.0,184554
postgresql,referential,1449.0,174937.0,176386
flutter,referential,901.0,170444.0,171345
mongodb,referential,1093.0,170017.0,171110
wpf,referential,1159.0,166508.0,167667
windows,referential,1429.0,162981.0,164410
bash,referential,1340.0,154881.0,156221
xcode,referential,1235.0,153749.0,154984
amazon-web-services,referential,830.0,153040.0,153870
oracle-database,referential,1829.0,149699.0,151528
git,referential,1702.0,149796.0,151498
dataframe,referential,802.0,146941.0,147743
spring-boot,referential,1068.0,144484.0,145552
azure,referential,750.0,141759.0,142509
list,referential,1375.0,140062.0,141437
multithreading,referential,1821.0,137515.0,139336
firebase,referential,1019.0,137920.0,138939
vb.net,referential,1394.0,137450.0,138844
docker,referential,695.0,133613.0,134308
react-native,referential,635.0,127718.0,128353
eclipse,referential,1088.0,121016.0,122104
algorithm,referential,2378.0,118274.0,120652
powershell,referential,671.0,117508.0,118179
macos,referential,837.0,113952.0,114789
numpy,referential,942.0,113148.0,114090
visual-studio,referential,1036.0,112444.0,113480
forms,referential,946.0,110824.0,111770
image,referential,900.0,110481.0,111381
function,referential,1138.0,109729.0,110867
scala,referential,929.0,109817.0,110746
vue.js,referential,563.0,104516.0,105079
twitter-bootstrap,referential,593.0,100823.0,101416
performance,referential,2140.0,99018.0,101158
winforms,referential,1012.0,97494.0,98506
selenium,referential,698.0,97396.0,98094
loops,referential,899.0,95291.0,96190
kotlin,referential,707.0,93709.0,94416
sqlite,referential,719.0,93066.0,93785
matlab,referential,911.0,92478.0,93389
python-2.7,referential,754.0,92328.0,93082
hibernate,referential,690.0,92150.0,92840
shell,referential,804.0,91640.0,92444
express,referential,537.0,91713.0,92250
dart,referential,491.0,91392.0,91883
entity-framework,referential,820.0,89671.0,90491
csv,referential,673.0,88926.0,89599
rest,referential,680.0,88699.0,89379
apache,referential,625.0,88658.0,89283
maven,referential,699.0,86386.0,87085
android-studio,referential,631.0,86131.0,86762
linq,referential,1012.0,85445.0,86457
dictionary,referential,828.0,84928.0,85756
qt,referential,727.0,84035.0,84762
asp.net-core,referential,681.0,83289.0,83970
unit-testing,referential,575.0,82803.0,83378
facebook,referential,426.0,81418.0,81844
swing,referential,881.0,80219.0,81100
file,referential,768.0,79798.0,80566
class,referential,922.0,78550.0,79472
apache-spark,referential,496.0,78718.0,79214
tensorflow,referential,502.0,77339.0,77841
sorting,referential,1081.0,75768.0,76849
date,referential,683.0,76031.0,76714
unity-game-engine,referential,800.0,74087.0,74887
t-sql,referential,868.0,72680.0,73548
go,referential,554.0,72214.0,72768
authentication,referential,483.0,72179.0,72662
symfony,referential,413.0,72233.0,72646
for-loop,referential,663.0,71109.0,71772
.htaccess,referential,442.0,71254.0,71696
matplotlib,referential,437.0,71037.0,71474
datetime,referential,641.0,70479.0,71120
opencv,referential,713.0,70193.0,70906
google-chrome,referential,449.0,68767.0,69216
codeigniter,referential,506.0,68100.0,68606
perl,referential,886.0,67147.0,68033
validation,referential,457.0,66018.0,66475
http,referential,445.0,65964.0,66409
sockets,referential,633.0,64230.0,64863
object,referential,675.0,64025.0,64700
google-maps,referential,342.0,64182.0,64524
uitableview,referential,548.0,62975.0,63523
xaml,referential,389.0,61829.0,62218
if-statement,referential,667.0,61349.0,62016
oop,referential,1002.0,60993.0,61995
ubuntu,referential,396.0,58533.0,58929
cordova,referential,312.0,57917.0,58229
visual-studio-code,referential,439.0,57761.0,58200
email,referential,427.0,57538.0,57965
android-layout,referential,465.0,57256.0,57721
ms-access,referential,488.0,57208.0,57696
web-services,referential,421.0,57250.0,57671
spring-mvc,referential,444.0,56770.0,57214
ggplot2,referential,209.0,56983.0,57192
parsing,referential,537.0,56469.0,57006
pointers,referential,806.0,56128.0,56934
github,referential,456.0,56198.0,56654
user-interface,referential,500.0,56022.0,56522
kubernetes,referential,349.0,56164.0,56513
c++11,referential,952.0,55557.0,56509
selenium-webdriver,referential,418.0,55728.0,56146
google-sheets,referential,291.0,55718.0,56009
elasticsearch,referential,276.0,55655.0,55931
google-apps-script,referential,308.0,54927.0,55235
templates,referential,721.0,54485.0,55206
ruby-on-rails-3,referential,280.0,54811.0,55091
security,referential,414.0,54524.0,54938
variables,referential,461.0,53206.0,53667
machine-learning,referential,622.0,52899.0,53521
flask,referential,288.0,53141.0,53429
sql-server-2008,referential,615.0,52773.0,53388
exception,referential,668.0,52376.0,53044
tkinter,referential,456.0,51864.0,52320
delphi,referential,774.0,51392.0,52166
nginx,referential,293.0,51757.0,52050
listview,referential,457.0,51237.0,51694
haskell,referential,711.0,50755.0,51466
debugging,referential,523.0,50696.0,51219
asynchronous,referential,483.0,50613.0,51096
jpa,referential,473.0,50611.0,51084
jsp,referential,424.0,50352.0,50776
web-scraping,referential,396.0,50251.0,50647
gradle,referential,375.0,49980.0,50355
batch-file,referential,373.0,49801.0,50174
generics,referential,626.0,49328.0,49954
xamarin,referential,320.0,49571.0,49891
pdf,referential,360.0,49355.0,49715
google-cloud-platform,referential,308.0,49019.0,49327
wcf,referential,342.0,48913.0,49255
amazon-s3,referential,250.0,48873.0,49123
ssl,referential,359.0,48647.0,49006
testing,referential,341.0,48432.0,48773
jenkins,referential,203.0,48328.0,48531
npm,referential,264.0,47241.0,47505
unix,referential,441.0,46920.0,47361
recursion,referential,474.0,46697.0,47171
ionic-framework,referential,256.0,46135.0,46391
network-programming,referential,439.0,45851.0,46290
google-app-engine,referential,276.0,45821.0,46097
visual-studio-2010,referential,420.0,45247.0,45667
mongoose,referential,243.0,45155.0,45398
assembly,referential,810.0,44208.0,45018
.net-core,referential,338.0,44431.0,44769
android-fragments,referential,341.0,43955.0,44296
math,referential,710.0,43564.0,44274
join,referential,628.0,42989.0,43617
winapi,referential,528.0,42909.0,43437
svg,referential,252.0,43148.0,43400
rust,referential,365.0,42878.0,43243
animation,referential,222.0,43018.0,43240
session,referential,294.0,42868.0,43162
intellij-idea,referential,291.0,42803.0,43094
django-models,referential,226.0,42799.0,43025
laravel-5,referential,282.0,42681.0,42963
curl,referential,280.0,42567.0,42847
hadoop,referential,234.0,42519.0,42753
javascript,missing_info,45493.0,2436890.0,2482383
python,missing_info,38120.0,2132493.0,2170613
java,missing_info,38624.0,1847470.0,1886094
c#,missing_info,32941.0,1571152.0,1604093
php,missing_info,29276.0,1417185.0,1446461
android,missing_info,28614.0,1341148.0,1369762
html,missing_info,21753.0,1151641.0,1173394
jquery,missing_info,21796.0,998073.0,1019869
c++,missing_info,12541.0,795644.0,808185
css,missing_info,13648.0,784168.0,797816
sql,missing_info,13819.0,658176.0,671995
ios,missing_info,11112.0,657503.0,668615
mysql,missing_info,14060.0,639686.0,653746
r,missing_info,6504.0,496526.0,503030
reactjs,missing_info,10208.0,447792.0,458000
node.js,missing_info,9005.0,446443.0,455448
arrays,missing_info,8040.0,408249.0,416289
c,missing_info,7141.0,398997.0,406138
asp.net,missing_info,8125.0,359816.0,367941
json,missing_info,8839.0,347543.0,356382
.net,missing_info,5431.0,330435.0,335866
sql-server,missing_info,7231.0,327667.0,334898
python-3.x,missing_info,5528.0,329072.0,334600
ruby-on-rails,missing_info,8367.0,324370.0,332737
swift,missing_info,6104.0,322120.0,328224
django,missing_info,9103.0,296060.0,305163
angular,missing_info,6666.0,291551.0,298217
objective-c,missing_info,4748.0,282719.0,287467
excel,missing_info,4788.0,282264.0,287052
pandas,missing_info,4852.0,282061.0,286913
regex,missing_info,3471.0,257243.0,260714
angularjs,missing_info,5378.0,250766.0,256144
typescript,missing_info,4019.0,223252.0,227271
ruby,missing_info,4696.0,222115.0,226811
linux,missing_info,2742.0,221040.0,223782
ajax,missing_info,5690.0,211964.0,217654
iphone,missing_info,2829.0,214019.0,216848
vba,missing_info,3915.0,211361.0,215276
xml,missing_info,4348.0,207386.0,211734
laravel,missing_info,5830.0,203447.0,209277
spring,missing_info,5277.0,201363.0,206640
asp.net-mvc,missing_info,5302.0,192818.0,198120
database,missing_info,3549.0,188106.0,191655
wordpress,missing_info,2684.0,182352.0,185036
string,missing_info,2998.0,181556.0,184554
postgresql,missing_info,3090.0,173296.0,176386
flutter,missing_info,3704.0,167641.0,171345
mongodb,missing_info,3172.0,167938.0,171110
wpf,missing_info,2803.0,164864.0,167667
windows,missing_info,1994.0,162416.0,164410
bash,missing_info,1962.0,154259.0,156221
xcode,missing_info,2292.0,152692.0,154984
amazon-web-services,missing_info,2749.0,151121.0,153870
oracle-database,missing_info,3194.0,148334.0,151528
git,missing_info,1556.0,149942.0,151498
dataframe,missing_info,2254.0,145489.0,147743
spring-boot,missing_info,3829.0,141723.0,145552
azure,missing_info,2795.0,139714.0,142509
list,missing_info,2560.0,138877.0,141437
multithreading,missing_info,2240.0,137096.0,139336
firebase,missing_info,3104.0,135835.0,138939
vb.net,missing_info,2495.0,136349.0,138844
docker,missing_info,2957.0,131351.0,134308
react-native,missing_info,2472.0,125881.0,128353
eclipse,missing_info,1928.0,120176.0,122104
algorithm,missing_info,1737.0,118915.0,120652
powershell,missing_info,1543.0,116636.0,118179
macos,missing_info,1243.0,113546.0,114789
numpy,missing_info,1609.0,112481.0,114090
visual-studio,missing_info,1556.0,111924.0,113480
forms,missing_info,2596.0,109174.0,111770
image,missing_info,1945.0,109436.0,111381
function,missing_info,1749.0,109118.0,110867
scala,missing_info,1467.0,109279.0,110746
vue.js,missing_info,1829.0,103250.0,105079
twitter-bootstrap,missing_info,2150.0,99266.0,101416
performance,missing_info,1790.0,99368.0,101158
winforms,missing_info,1718.0,96788.0,98506
selenium,missing_info,3346.0,94748.0,98094
loops,missing_info,1706.0,94484.0,96190
kotlin,missing_info,1749.0,92667.0,94416
sqlite,missing_info,1722.0,92063.0,93785
matlab,missing_info,1201.0,92188.0,93389
python-2.7,missing_info,1600.0,91482.0,93082
hibernate,missing_info,2618.0,90222.0,92840
shell,missing_info,1184.0,91260.0,92444
express,missing_info,2114.0,90136.0,92250
dart,missing_info,1878.0,90005.0,91883
entity-framework,missing_info,2358.0,88133.0,90491
csv,missing_info,1889.0,87710.0,89599
rest,missing_info,1718.0,87661.0,89379
apache,missing_info,1375.0,87908.0,89283
maven,missing_info,2198.0,84887.0,87085
android-studio,missing_info,1898.0,84864.0,86762
linq,missing_info,2039.0,84418.0,86457
dictionary,missing_info,1511.0,84245.0,85756
qt,missing_info,950.0,83812.0,84762
asp.net-core,missing_info,2051.0,81919.0,83970
unit-testing,missing_info,1358.0,82020.0,83378
facebook,missing_info,950.0,80894.0,81844
swing,missing_info,979.0,80121.0,81100
file,missing_info,1375.0,79191.0,80566
class,missing_info,1457.0,78015.0,79472
apache-spark,missing_info,1425.0,77789.0,79214
tensorflow,missing_info,1252.0,76589.0,77841
sorting,missing_info,1378.0,75471.0,76849
date,missing_info,1218.0,75496.0,76714
unity-game-engine,missing_info,1048.0,73839.0,74887
t-sql,missing_info,1480.0,72068.0,73548
go,missing_info,939.0,71829.0,72768
authentication,missing_info,1167.0,71495.0,72662
symfony,missing_info,1506.0,71140.0,72646
for-loop,missing_info,1241.0,70531.0,71772
.htaccess,missing_info,1152.0,70544.0,71696
matplotlib,missing_info,936.0,70538.0,71474
datetime,missing_info,1169.0,69951.0,71120
opencv,missing_info,1380.0,69526.0,70906
google-chrome,missing_info,1028.0,68188.0,69216
codeigniter,missing_info,1623.0,66983.0,68606
perl,missing_info,1154.0,66879.0,68033
validation,missing_info,1262.0,65213.0,66475
http,missing_info,1119.0,65290.0,66409
sockets,missing_info,1039.0,63824.0,64863
object,missing_info,1213.0,63487.0,64700
google-maps,missing_info,1028.0,63496.0,64524
uitableview,missing_info,1621.0,61902.0,63523
xaml,missing_info,1030.0,61188.0,62218
if-statement,missing_info,1013.0,61003.0,62016
oop,missing_info,801.0,61194.0,61995
ubuntu,missing_info,812.0,58117.0,58929
cordova,missing_info,860.0,57369.0,58229
visual-studio-code,missing_info,661.0,57539.0,58200
email,missing_info,960.0,57005.0,57965
android-layout,missing_info,1374.0,56347.0,57721
ms-access,missing_info,1002.0,56694.0,57696
web-services,missing_info,1034.0,56637.0,57671
spring-mvc,missing_info,1640.0,55574.0,57214
ggplot2,missing_info,702.0,56490.0,57192
parsing,missing_info,993.0,56013.0,57006
pointers,missing_info,1016.0,55918.0,56934
github,missing_info,567.0,56087.0,56654
user-interface,missing_info,721.0,55801.0,56522
kubernetes,missing_info,1298.0,55215.0,56513
c++11,missing_info,720.0,55789.0,56509
selenium-webdriver,missing_info,1817.0,54329.0,56146
google-sheets,missing_info,1820.0,54189.0,56009
elasticsearch,missing_info,1695.0,54236.0,55931
google-apps-script,missing_info,2395.0,52840.0,55235
templates,missing_info,726.0,54480.0,55206
ruby-on-rails-3,missing_info,1169.0,53922.0,55091
security,missing_info,478.0,54460.0,54938
variables,missing_info,868.0,52799.0,53667
machine-learning,missing_info,794.0,52727.0,53521
flask,missing_info,1104.0,52325.0,53429
sql-server-2008,missing_info,1142.0,52246.0,53388
exception,missing_info,1198.0,51846.0,53044
tkinter,missing_info,620.0,51700.0,52320
delphi,missing_info,912.0,51254.0,52166
nginx,missing_info,988.0,51062.0,52050
listview,missing_info,1366.0,50328.0,51694
haskell,missing_info,549.0,50917.0,51466
debugging,missing_info,675.0,50544.0,51219
asynchronous,missing_info,749.0,50347.0,51096
jpa,missing_info,1366.0,49718.0,51084
jsp,missing_info,1120.0,49656.0,50776
web-scraping,missing_info,1164.0,49483.0,50647
gradle,missing_info,992.0,49363.0,50355
batch-file,missing_info,623.0,49551.0,50174
generics,missing_info,786.0,49168.0,49954
xamarin,missing_info,946.0,48945.0,49891
pdf,missing_info,861.0,48854.0,49715
google-cloud-platform,missing_info,1146.0,48181.0,49327
wcf,missing_info,1008.0,48247.0,49255
amazon-s3,missing_info,891.0,48232.0,49123
ssl,missing_info,771.0,48235.0,49006
testing,missing_info,749.0,48024.0,48773
jenkins,missing_info,615.0,47916.0,48531
npm,missing_info,936.0,46569.0,47505
unix,missing_info,605.0,46756.0,47361
recursion,missing_info,818.0,46353.0,47171
ionic-framework,missing_info,972.0,45419.0,46391
network-programming,missing_info,544.0,45746.0,46290
google-app-engine,missing_info,872.0,45225.0,46097
visual-studio-2010,missing_info,636.0,45031.0,45667
mongoose,missing_info,979.0,44419.0,45398
assembly,missing_info,903.0,44115.0,45018
.net-core,missing_info,880.0,43889.0,44769
android-fragments,missing_info,1354.0,42942.0,44296
math,missing_info,584.0,43690.0,44274
join,missing_info,970.0,42647.0,43617
winapi,missing_info,514.0,42923.0,43437
svg,missing_info,524.0,42876.0,43400
rust,missing_info,354.0,42889.0,43243
animation,missing_info,513.0,42727.0,43240
session,missing_info,735.0,42427.0,43162
intellij-idea,missing_info,648.0,42446.0,43094
django-models,missing_info,1332.0,41693.0,43025
laravel-5,missing_info,1192.0,41771.0,42963
curl,missing_info,780.0,42067.0,42847
hadoop,missing_info,766.0,41987.0,42753
javascript,contradiction,153.0,2482230.0,2482383
python,contradiction,125.0,2170488.0,2170613
java,contradiction,211.0,1885883.0,1886094
c#,contradiction,177.0,1603916.0,1604093
php,contradiction,125.0,1446336.0,1446461
android,contradiction,49.0,1369713.0,1369762
html,contradiction,60.0,1173334.0,1173394
jquery,contradiction,52.0,1019817.0,1019869
c++,contradiction,200.0,807985.0,808185
css,contradiction,46.0,797770.0,797816
sql,contradiction,69.0,671926.0,671995
ios,contradiction,43.0,668572.0,668615
mysql,contradiction,57.0,653689.0,653746
r,contradiction,20.0,503010.0,503030
reactjs,contradiction,9.0,457991.0,458000
node.js,contradiction,26.0,455422.0,455448
arrays,contradiction,47.0,416242.0,416289
c,contradiction,108.0,406030.0,406138
asp.net,contradiction,27.0,367914.0,367941
json,contradiction,26.0,356356.0,356382
.net,contradiction,43.0,335823.0,335866
sql-server,contradiction,33.0,334865.0,334898
python-3.x,contradiction,12.0,334588.0,334600
ruby-on-rails,contradiction,19.0,332718.0,332737
swift,contradiction,26.0,328198.0,328224
django,contradiction,15.0,305148.0,305163
angular,contradiction,15.0,298202.0,298217
objective-c,contradiction,20.0,287447.0,287467
excel,contradiction,16.0,287036.0,287052
pandas,contradiction,6.0,286907.0,286913
regex,contradiction,33.0,260681.0,260714
angularjs,contradiction,5.0,256139.0,256144
typescript,contradiction,7.0,227264.0,227271
ruby,contradiction,22.0,226789.0,226811
linux,contradiction,16.0,223766.0,223782
ajax,contradiction,7.0,217647.0,217654
iphone,contradiction,13.0,216835.0,216848
vba,contradiction,11.0,215265.0,215276
xml,contradiction,15.0,211719.0,211734
laravel,contradiction,4.0,209273.0,209277
spring,contradiction,12.0,206628.0,206640
asp.net-mvc,contradiction,16.0,198104.0,198120
database,contradiction,18.0,191637.0,191655
wordpress,contradiction,9.0,185027.0,185036
string,contradiction,28.0,184526.0,184554
postgresql,contradiction,15.0,176371.0,176386
flutter,contradiction,2.0,171343.0,171345
mongodb,contradiction,10.0,171100.0,171110
wpf,contradiction,7.0,167660.0,167667
windows,contradiction,14.0,164396.0,164410
bash,contradiction,17.0,156204.0,156221
xcode,contradiction,9.0,154975.0,154984
amazon-web-services,contradiction,8.0,153862.0,153870
oracle-database,contradiction,18.0,151510.0,151528
git,contradiction,19.0,151479.0,151498
dataframe,contradiction,3.0,147740.0,147743
spring-boot,contradiction,9.0,145543.0,145552
azure,contradiction,5.0,142504.0,142509
list,contradiction,15.0,141422.0,141437
multithreading,contradiction,31.0,139305.0,139336
firebase,contradiction,10.0,138929.0,138939
vb.net,contradiction,11.0,138833.0,138844
docker,contradiction,4.0,134304.0,134308
react-native,contradiction,5.0,128348.0,128353
eclipse,contradiction,5.0,122099.0,122104
algorithm,contradiction,37.0,120615.0,120652
powershell,contradiction,14.0,118165.0,118179
macos,contradiction,9.0,114780.0,114789
numpy,contradiction,6.0,114084.0,114090
visual-studio,contradiction,9.0,113471.0,113480
forms,contradiction,3.0,111767.0,111770
image,contradiction,4.0,111377.0,111381
function,contradiction,14.0,110853.0,110867
scala,contradiction,10.0,110736.0,110746
vue.js,contradiction,2.0,105077.0,105079
twitter-bootstrap,contradiction,2.0,101414.0,101416
performance,contradiction,16.0,101142.0,101158
winforms,contradiction,8.0,98498.0,98506
selenium,contradiction,2.0,98092.0,98094
loops,contradiction,8.0,96182.0,96190
kotlin,contradiction,9.0,94407.0,94416
sqlite,contradiction,5.0,93780.0,93785
matlab,contradiction,5.0,93384.0,93389
python-2.7,contradiction,12.0,93070.0,93082
hibernate,contradiction,5.0,92835.0,92840
shell,contradiction,12.0,92432.0,92444
express,contradiction,1.0,92249.0,92250
dart,contradiction,0.0,91883.0,91883
entity-framework,contradiction,11.0,90480.0,90491
csv,contradiction,7.0,89592.0,89599
rest,contradiction,5.0,89374.0,89379
apache,contradiction,10.0,89273.0,89283
maven,contradiction,4.0,87081.0,87085
android-studio,contradiction,2.0,86760.0,86762
linq,contradiction,9.0,86448.0,86457
dictionary,contradiction,8.0,85748.0,85756
qt,contradiction,5.0,84757.0,84762
asp.net-core,contradiction,7.0,83963.0,83970
unit-testing,contradiction,11.0,83367.0,83378
facebook,contradiction,0.0,81844.0,81844
swing,contradiction,4.0,81096.0,81100
file,contradiction,7.0,80559.0,80566
class,contradiction,10.0,79462.0,79472
apache-spark,contradiction,4.0,79210.0,79214
tensorflow,contradiction,4.0,77837.0,77841
sorting,contradiction,8.0,76841.0,76849
date,contradiction,7.0,76707.0,76714
unity-game-engine,contradiction,1.0,74886.0,74887
t-sql,contradiction,10.0,73538.0,73548
go,contradiction,9.0,72759.0,72768
authentication,contradiction,6.0,72656.0,72662
symfony,contradiction,2.0,72644.0,72646
for-loop,contradiction,3.0,71769.0,71772
.htaccess,contradiction,9.0,71687.0,71696
matplotlib,contradiction,1.0,71473.0,71474
datetime,contradiction,7.0,71113.0,71120
opencv,contradiction,4.0,70902.0,70906
google-chrome,contradiction,8.0,69208.0,69216
codeigniter,contradiction,5.0,68601.0,68606
perl,contradiction,17.0,68016.0,68033
validation,contradiction,4.0,66471.0,66475
http,contradiction,9.0,66400.0,66409
sockets,contradiction,14.0,64849.0,64863
object,contradiction,14.0,64686.0,64700
google-maps,contradiction,2.0,64522.0,64524
uitableview,contradiction,8.0,63515.0,63523
xaml,contradiction,1.0,62217.0,62218
if-statement,contradiction,10.0,62006.0,62016
oop,contradiction,15.0,61980.0,61995
ubuntu,contradiction,3.0,58926.0,58929
cordova,contradiction,0.0,58229.0,58229
visual-studio-code,contradiction,2.0,58198.0,58200
email,contradiction,2.0,57963.0,57965
android-layout,contradiction,2.0,57719.0,57721
ms-access,contradiction,4.0,57692.0,57696
web-services,contradiction,3.0,57668.0,57671
spring-mvc,contradiction,3.0,57211.0,57214
ggplot2,contradiction,0.0,57192.0,57192
parsing,contradiction,6.0,57000.0,57006
pointers,contradiction,18.0,56916.0,56934
github,contradiction,3.0,56651.0,56654
user-interface,contradiction,2.0,56520.0,56522
kubernetes,contradiction,2.0,56511.0,56513
c++11,contradiction,27.0,56482.0,56509
selenium-webdriver,contradiction,1.0,56145.0,56146
google-sheets,contradiction,0.0,56009.0,56009
elasticsearch,contradiction,1.0,55930.0,55931
google-apps-script,contradiction,1.0,55234.0,55235
templates,contradiction,7.0,55199.0,55206
ruby-on-rails-3,contradiction,2.0,55089.0,55091
security,contradiction,7.0,54931.0,54938
variables,contradiction,8.0,53659.0,53667
machine-learning,contradiction,1.0,53520.0,53521
flask,contradiction,1.0,53428.0,53429
sql-server-2008,contradiction,7.0,53381.0,53388
exception,contradiction,9.0,53035.0,53044
tkinter,contradiction,1.0,52319.0,52320
delphi,contradiction,13.0,52153.0,52166
nginx,contradiction,2.0,52048.0,52050
listview,contradiction,4.0,51690.0,51694
haskell,contradiction,12.0,51454.0,51466
debugging,contradiction,0.0,51219.0,51219
asynchronous,contradiction,11.0,51085.0,51096
jpa,contradiction,3.0,51081.0,51084
jsp,contradiction,1.0,50775.0,50776
web-scraping,contradiction,1.0,50646.0,50647
gradle,contradiction,1.0,50354.0,50355
batch-file,contradiction,5.0,50169.0,50174
generics,contradiction,16.0,49938.0,49954
xamarin,contradiction,0.0,49891.0,49891
pdf,contradiction,2.0,49713.0,49715
google-cloud-platform,contradiction,2.0,49325.0,49327
wcf,contradiction,4.0,49251.0,49255
amazon-s3,contradiction,4.0,49119.0,49123
ssl,contradiction,3.0,49003.0,49006
testing,contradiction,2.0,48771.0,48773
jenkins,contradiction,1.0,48530.0,48531
npm,contradiction,1.0,47504.0,47505
unix,contradiction,9.0,47352.0,47361
recursion,contradiction,10.0,47161.0,47171
ionic-framework,contradiction,1.0,46390.0,46391
network-programming,contradiction,3.0,46287.0,46290
google-app-engine,contradiction,2.0,46095.0,46097
visual-studio-2010,contradiction,2.0,45665.0,45667
mongoose,contradiction,1.0,45397.0,45398
assembly,contradiction,8.0,45010.0,45018
.net-core,contradiction,5.0,44764.0,44769
android-fragments,contradiction,1.0,44295.0,44296
math,contradiction,8.0,44266.0,44274
join,contradiction,3.0,43614.0,43617
winapi,contradiction,11.0,43426.0,43437
svg,contradiction,2.0,43398.0,43400
rust,contradiction,7.0,43236.0,43243
animation,contradiction,2.0,43238.0,43240
session,contradiction,6.0,43156.0,43162
intellij-idea,contradiction,1.0,43093.0,43094
django-models,contradiction,1.0,43024.0,43025
laravel-5,contradiction,1.0,42962.0,42963
curl,contradiction,3.0,42844.0,42847
hadoop,contradiction,4.0,42749.0,42753
javascript,pragmatic_tone,345.0,2482038.0,2482383
python,pragmatic_tone,147.0,2170466.0,2170613
java,pragmatic_tone,279.0,1885815.0,1886094
c#,pragmatic_tone,269.0,1603824.0,1604093
php,pragmatic_tone,288.0,1446173.0,1446461
android,pragmatic_tone,133.0,1369629.0,1369762
html,pragmatic_tone,202.0,1173192.0,1173394
jquery,pragmatic_tone,158.0,1019711.0,1019869
c++,pragmatic_tone,275.0,807910.0,808185
css,pragmatic_tone,125.0,797691.0,797816
sql,pragmatic_tone,103.0,671892.0,671995
ios,pragmatic_tone,89.0,668526.0,668615
mysql,pragmatic_tone,120.0,653626.0,653746
r,pragmatic_tone,24.0,503006.0,503030
reactjs,pragmatic_tone,9.0,457991.0,458000
node.js,pragmatic_tone,26.0,455422.0,455448
arrays,pragmatic_tone,93.0,416196.0,416289
c,pragmatic_tone,142.0,405996.0,406138
asp.net,pragmatic_tone,60.0,367881.0,367941
json,pragmatic_tone,31.0,356351.0,356382
.net,pragmatic_tone,81.0,335785.0,335866
sql-server,pragmatic_tone,57.0,334841.0,334898
python-3.x,pragmatic_tone,21.0,334579.0,334600
ruby-on-rails,pragmatic_tone,21.0,332716.0,332737
swift,pragmatic_tone,28.0,328196.0,328224
django,pragmatic_tone,15.0,305148.0,305163
angular,pragmatic_tone,12.0,298205.0,298217
objective-c,pragmatic_tone,52.0,287415.0,287467
excel,pragmatic_tone,22.0,287030.0,287052
pandas,pragmatic_tone,7.0,286906.0,286913
regex,pragmatic_tone,38.0,260676.0,260714
angularjs,pragmatic_tone,20.0,256124.0,256144
typescript,pragmatic_tone,8.0,227263.0,227271
ruby,pragmatic_tone,28.0,226783.0,226811
linux,pragmatic_tone,34.0,223748.0,223782
ajax,pragmatic_tone,38.0,217616.0,217654
iphone,pragmatic_tone,35.0,216813.0,216848
vba,pragmatic_tone,17.0,215259.0,215276
xml,pragmatic_tone,22.0,211712.0,211734
laravel,pragmatic_tone,9.0,209268.0,209277
spring,pragmatic_tone,14.0,206626.0,206640
asp.net-mvc,pragmatic_tone,29.0,198091.0,198120
database,pragmatic_tone,26.0,191629.0,191655
wordpress,pragmatic_tone,16.0,185020.0,185036
string,pragmatic_tone,46.0,184508.0,184554
postgresql,pragmatic_tone,11.0,176375.0,176386
flutter,pragmatic_tone,6.0,171339.0,171345
mongodb,pragmatic_tone,12.0,171098.0,171110
wpf,pragmatic_tone,22.0,167645.0,167667
windows,pragmatic_tone,27.0,164383.0,164410
bash,pragmatic_tone,16.0,156205.0,156221
xcode,pragmatic_tone,17.0,154967.0,154984
amazon-web-services,pragmatic_tone,6.0,153864.0,153870
oracle-database,pragmatic_tone,20.0,151508.0,151528
git,pragmatic_tone,21.0,151477.0,151498
